TeacherID,TeacherName,Gender,Expertise,YearsOfExperience,TeacherRating,CourseCount,EnrollmentCount,AverageCourseRating,RatingTier,TeacherRating_Score,CourseRating_Score,Enrollment_Score,InstructorPerformanceScore,PerformanceTier,ExperienceGroup
TC00013,Brian Carrillo,Female,Digital Marketing,6,3.42,14,23,3.4460869565217394,Medium,0.6045918367346939,0.6891260543978408,0.0,51.74871564530139,Medium Performer,6-10 Years
TC00014,Susan Randolph,Male,Project Management,3,2.45,13,57,3.0985964912280703,Low,0.35714285714285726,0.4330881487801186,0.01119157340355497,31.833071704990136,Low Performer,0-5 Years
TC00015,John Armstrong,Male,Data Science,7,3.07,20,61,3.273606557377049,Medium,0.5153061224489797,0.5620390561407986,0.01250822909809085,43.34397172555295,Low Performer,6-10 Years
TC00016,David Carlson,Male,Data Science,1,2.92,17,108,3.286388888888889,Low,0.47704081632653067,0.5714573329457089,0.027978933508887426,42.49950464106733,Low Performer,0-5 Years
TC00017,Brian Perez,Male,Digital Marketing,4,2.33,17,51,3.5337254901960784,Low,0.32653061224489804,0.7536998739828551,0.009216589861751154,43.39355124634515,Low Performer,0-5 Years
TC00018,Kari Pierce,Female,Project Management,11,4.28,8,93,3.246236559139785,High,0.8239795918367347,0.5418722955377198,0.02304147465437788,55.09490498806574,Medium Performer,11-20 Years
TC00019,Tommy Haynes,Male,Digital Marketing,8,3.4,17,35,3.3271428571428574,Medium,0.5994897959183674,0.6014856696039215,0.003949967083607636,48.118017962563705,Low Performer,6-10 Years
TC00020,Tara Reynolds,Female,Digital Marketing,10,3.23,14,25,3.8680000000000003,Medium,0.556122448979592,1.0,0.0006583278472679392,62.25806451612904,Medium Performer,6-10 Years
TC00021,Adam Holmes,Female,Machine Learning,2,3.99,9,51,2.8249019607843135,Medium,0.7500000000000002,0.23142455983927324,0.009216589861751154,39.44131419080596,Low Performer,0-5 Years
TC00022,John Holmes,Male,Digital Marketing,3,2.5,16,42,3.616190476190476,Low,0.36989795918367346,0.8144617204495099,0.006254114549045424,47.49946947630825,Low Performer,0-5 Years
TC00023,Robert Mack,Male,Finance,4,2.99,18,95,3.2365263157894733,Low,0.4948979591836736,0.5347175945638352,0.023699802501645818,41.658618199933265,Low Performer,0-5 Years
TC00024,Michael Kim,Male,Digital Marketing,6,4.22,8,57,3.5828070175438596,High,0.8086734693877551,0.78986412227676,0.01119157340355497,64.1653351346517,Medium Performer,6-10 Years
TC00025,Justin Pham,Male,Web Development,4,2.17,15,48,2.8814583333333332,Low,0.28571428571428575,0.27309642316521776,0.008229098090849245,22.517010316997126,Low Performer,0-5 Years
TC00026,Patrick Wilson,Male,Web Development,1,2.83,15,51,3.2254901960784315,Low,0.4540816326530613,0.5265859614424095,0.009216589861751154,39.41103556105386,Low Performer,0-5 Years
TC00027,Laurie Michael,Female,Artificial Intelligence,3,1.55,13,133,3.1497744360902256,Low,0.1275510204081633,0.4707970793122169,0.036208031599736665,24.65808462080994,Low Performer,0-5 Years
TC00028,Timothy Bailey,Female,Business,3,1.06,16,161,2.7651552795031056,Low,0.002551020408163296,0.18740201340789975,0.04542462146148782,8.506613781872279,Low Performer,0-5 Years
TC00029,David Webb,Male,Artificial Intelligence,2,3.1,18,66,3.2648484848484847,Medium,0.5229591836734695,0.5555859336196765,0.014154048716260699,43.42488566605105,Low Performer,0-5 Years
TC00030,David Aguirre,Male,Artificial Intelligence,6,3.01,17,54,3.235185185185185,Medium,0.49999999999999994,0.5337294227853908,0.010204081632653062,41.5532585440687,Low Performer,6-10 Years
TC00031,Brenda Mercer,Female,Cybersecurity,1,1.86,15,164,3.0733536585365857,Low,0.20663265306122452,0.4144887261780501,0.04641211323238972,25.773097434218784,Low Performer,0-5 Years
TC00032,James Holder,Male,Cybersecurity,1,3.11,15,36,3.1794444444444445,Medium,0.5255102040816326,0.4926585332437785,0.004279131007241606,40.812332113161276,Low Performer,0-5 Years
TC00033,Wesley Garcia,Female,Design,12,4.04,8,137,3.2479562043795625,High,0.7627551020408163,0.5431393644491678,0.037524687294272545,52.98627240548481,Medium Performer,11-20 Years
TC00034,Brandon Dawson,Male,Web Development,3,2.79,15,51,3.025686274509804,Low,0.4438775510204082,0.3793664468885205,0.009216589861751154,33.11409171359217,Low Performer,0-5 Years
TC00035,Sharon Jackson,Male,Digital Marketing,5,3.13,14,38,3.7728947368421055,Medium,0.5306122448979591,0.9299245452056053,0.004937458854509546,58.52022078123278,Medium Performer,0-5 Years
TC00036,Brenda Mclean,Male,Digital Marketing,4,1.39,15,46,3.3821739130434785,Low,0.086734693877551,0.6420336492004814,0.007570770243581303,29.302149127992923,Low Performer,0-5 Years
TC00037,Debra Escobar,Male,Finance,8,4.39,10,117,3.0544444444444445,High,0.8520408163265307,0.40055604008567824,0.030941408821593155,50.72270243292023,Medium Performer,6-10 Years
TC00038,Jeffrey Clark,Male,Digital Marketing,1,2.38,18,70,3.484,Low,0.33928571428571425,0.717061141018315,0.015470704410796576,42.5632883003771,Low Performer,0-5 Years
TC00039,Elizabeth Bishop,Male,Finance,7,3.31,16,41,3.388292682926829,Medium,0.5765306122448981,0.6465420808910198,0.005924950625411454,49.04140673794494,Low Performer,6-10 Years
TC00040,Kimberly Miller,Male,Cybersecurity,24,4.58,55,3025,3.1479966942148763,High,0.9005102040816328,0.4694872036409268,0.988150098749177,74.56289828388593,Medium Performer,20+ Years
TC00041,Kevin Simpson,Male,Artificial Intelligence,7,3.55,7,44,3.1793181818181817,Medium,0.6377551020408163,0.49256550042240654,0.0069124423963133645,45.35107294645518,Low Performer,6-10 Years
TC00042,Yolanda Levine,Female,Machine Learning,21,4.97,55,3061,3.079251878471088,High,1.0,0.41883465226734984,0.9999999999999999,76.753386090694,High Performer,20+ Years
TC00043,John Williams,Female,Project Management,1,1.05,14,68,2.960735294117647,Low,0.0,0.3315092690710757,0.014812376563528639,13.556618294113601,Low Performer,0-5 Years
TC00044,Barbara Maynard,Male,Finance,4,2.61,14,77,3.2022077922077923,Low,0.39795918367346933,0.5094310218968121,0.017774851876234364,36.651105260335946,Low Performer,0-5 Years
TC00045,Emily Gutierrez,Female,Web Development,5,1.07,17,56,2.8005357142857146,Low,0.005102040816326536,0.21347102342786695,0.010862409479921002,8.960170759366159,Low Performer,0-5 Years
TC00046,Brent Walters,Male,Cybersecurity,6,3.87,9,31,2.888387096774194,Medium,0.7193877551020409,0.2782016742644653,0.0026333113890717576,39.956243402441686,Low Performer,6-10 Years
TC00047,Brad Griffin,Male,Design,4,1.79,14,65,3.1681538461538463,Low,0.18877551020408168,0.48433939522929315,0.013824884792626727,27.20109391318753,Low Performer,0-5 Years
TC00048,Theresa Gonzalez,Male,Finance,7,3.18,15,33,3.3242424242424238,Medium,0.5433673469387756,0.5993485727929801,0.0032916392363396977,45.774469573997024,Low Performer,6-10 Years
TC00049,Valerie Wiley,Female,Machine Learning,6,3.46,16,95,2.910947368421053,Medium,0.614795918367347,0.2948245323844634,0.023699802501645818,36.85881408010533,Low Performer,6-10 Years
TC00050,Alexander Williams,Female,Digital Marketing,3,3.41,15,24,3.2925,Medium,0.6020408163265307,0.5759601215001049,0.0003291639236339709,47.1266207915381,Low Performer,0-5 Years
TC00051,John Obrien,Female,Design,2,1.77,14,63,3.1163492063492066,Low,0.18367346938775514,0.4461687033639756,0.01316655694535879,25.45701804897641,Low Performer,0-5 Years
TC00052,Susan Johnson,Female,Business,12,3.43,19,97,2.84340206185567,Medium,0.6071428571428572,0.24505580329806342,0.02435813034891376,34.5751090246151,Low Performer,11-20 Years
TC00053,Aaron Kirby,Male,Marketing,9,4.29,9,120,3.646666666666667,High,0.8265306122448981,0.8369171854480566,0.031928900592495056,67.1764899195681,Medium Performer,6-10 Years
TC00054,Shelby Patrick,Female,Artificial Intelligence,7,4.28,9,46,3.146304347826087,High,0.8239795918367347,0.46824024906737005,0.007570770243581303,51.84020904103582,Medium Performer,6-10 Years
TC00055,Alison Wilson,Female,Cybersecurity,12,3.53,8,37,2.542972972972973,Medium,0.6326530612244898,0.02369365847155991,0.004608294930875576,26.346034686459507,Low Performer,11-20 Years
TC00056,Alexis Everett,Female,Programming,9,3.95,8,123,2.9804878048780488,Medium,0.739795918367347,0.34606331296839743,0.03291639236339697,44.09269710069772,Low Performer,6-10 Years
TC00057,Brittany Scott,Male,Data Science,7,3.44,15,49,3.2510204081632654,Medium,0.6096938775510203,0.5453971309133561,0.008558262014483214,46.37480557886472,Low Performer,6-10 Years
TC00058,Andrew Anderson,Male,Web Development,7,3.71,10,138,2.790797101449275,Medium,0.6785714285714286,0.20629541925076644,0.03785385121790651,36.151750937245936,Low Performer,6-10 Years
TC00059,Noah Stewart,Female,Cybersecurity,6,3.82,10,47,3.0119148936170212,Medium,0.7066326530612246,0.36921941877287967,0.007899934167215274,43.19208155670849,Low Performer,6-10 Years
TC00060,Benjamin Gray,Female,Project Management,14,3.32,15,92,2.934021739130435,Medium,0.5790816326530612,0.31182618894756997,0.02271231073074391,36.090559078640126,Low Performer,11-20 Years
